Source,Target
da Rocha AM,Ladeira LO
da Rocha AM,Monserrat JM
Kist LW,Almeida EA
Kist LW,Silva DGH
Kist LW,Bonan CD
Kist LW,Altenhofen S
Kist LW,Kaufmann CG Jr
Kist LW,Bogo MR
Kist LW,Barros DM
Kist LW,Oliveira S
Kist LW,Geraldo V
Kist LW,Lacerda RG
Kist LW,Ferlauto AS
Kist LW,Ladeira LO
Kist LW,Monserrat JM
Almeida EA,Silva DGH
Almeida EA,Bonan CD
Almeida EA,Altenhofen S
Almeida EA,Kaufmann CG Jr
Almeida EA,Bogo MR
Almeida EA,Barros DM
Almeida EA,Oliveira S
Almeida EA,Geraldo V
Almeida EA,Lacerda RG
Almeida EA,Ferlauto AS
Almeida EA,Ladeira LO
Almeida EA,Monserrat JM
Silva DGH,Bonan CD
Silva DGH,Altenhofen S
Silva DGH,Kaufmann CG Jr
Silva DGH,Bogo MR
Silva DGH,Barros DM
Silva DGH,Oliveira S
Silva DGH,Geraldo V
Silva DGH,Lacerda RG
Silva DGH,Ferlauto AS
Silva DGH,Ladeira LO
Silva DGH,Monserrat JM
Bonan CD,Altenhofen S
Bonan CD,Kaufmann CG Jr
Bonan CD,Bogo MR
Bonan CD,Barros DM
Bonan CD,Oliveira S
Bonan CD,Geraldo V
Bonan CD,Lacerda RG
Bonan CD,Ferlauto AS
Bonan CD,Ladeira LO
Bonan CD,Monserrat JM
Altenhofen S,Kaufmann CG Jr
Altenhofen S,Bogo MR
Altenhofen S,Barros DM
Altenhofen S,Oliveira S
Altenhofen S,Geraldo V
Altenhofen S,Lacerda RG
Altenhofen S,Ferlauto AS
Altenhofen S,Ladeira LO
Altenhofen S,Monserrat JM
Kaufmann CG Jr,Bogo MR
Kaufmann CG Jr,Barros DM
Kaufmann CG Jr,Oliveira S
Kaufmann CG Jr,Geraldo V
Kaufmann CG Jr,Lacerda RG
Kaufmann CG Jr,Ferlauto AS
Kaufmann CG Jr,Ladeira LO
Kaufmann CG Jr,Monserrat JM
Bogo MR,Barros DM
Bogo MR,Oliveira S
Bogo MR,Geraldo V
Bogo MR,Lacerda RG
Bogo MR,Ferlauto AS
Bogo MR,Ladeira LO
Bogo MR,Monserrat JM
Barros DM,Oliveira S
Barros DM,Geraldo V
Barros DM,Lacerda RG
Barros DM,Ferlauto AS
Barros DM,Ladeira LO
Barros DM,Monserrat JM
Oliveira S,Geraldo V
Oliveira S,Lacerda RG
Oliveira S,Ferlauto AS
Oliveira S,Ladeira LO
Oliveira S,Monserrat JM
Geraldo V,Lacerda RG
Geraldo V,Ferlauto AS
Geraldo V,Ladeira LO
Geraldo V,Monserrat JM
Lacerda RG,Ferlauto AS
Lacerda RG,Ladeira LO
Lacerda RG,Monserrat JM
Ferlauto AS,Ladeira LO
Ferlauto AS,Monserrat JM
Lacin H,Chen HM
Lacin H,Long X
Lacin H,Singer RH
Lacin H,Lee T
Lacin H,Truman JW
Chen HM,Long X
Chen HM,Singer RH
Chen HM,Lee T
Chen HM,Truman JW
Long X,Singer RH
Long X,Lee T
Long X,Truman JW
Singer RH,Lee T
Singer RH,Truman JW
Baek JY,Trinh TA
Baek JY,Huh W
Baek JY,Song JH
Baek JY,Kim HY
Baek JY,Lim J
Baek JY,Kim J
Baek JY,Choi HJ
Baek JY,Kim TH
Baek JY,Kang KS
Trinh TA,Huh W
Trinh TA,Song JH
Trinh TA,Kim HY
Trinh TA,Lim J
Trinh TA,Kim J
Trinh TA,Choi HJ
Trinh TA,Kim TH
Trinh TA,Kang KS
Huh W,Song JH
Huh W,Kim HY
Huh W,Lim J
Huh W,Kim J
Huh W,Choi HJ
Huh W,Kim TH
Huh W,Kang KS
